year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1998,53.5,-105.75,Cornwell,C3,Populus tremuloides,Populus,tremuloides,-28.65,20.98444175,16.068,EcM-AM,NA,10.9697449,890.1884904,0.460664716,461,332.7428574,3.700000048,2.200000048,1.700000048,2.599999905,44.70000076,14,10.19999981,28.60000038,5173,862,366.84
1998,46.7,-114.167,Cornwell,C3,Pinus albicaulis,Pinus,albicaulis,-25.63,18.2,5.23575,EcM,NA,10.2588648,818.9168625,0.596652026,1481,276.0089289,5.300000191,1.799999952,0.899999976,2.400000095,59.40000153,22.60000038,10.89999962,35.70000076,3883,1094,366.84
1998,5.3,-53.5,Diefendorf,C3,Glycydendron amazoni,Glycydendron,amazoni,-30.8,23.6,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,53.5,-105.75,Cornwell,C3,Pinus banksiana,Pinus,banksiana,-24.8,17.13444175,16.068,EcM,NA,10.9697449,890.1884904,0.460664716,461,332.7428574,3.700000048,2.200000048,1.700000048,2.599999905,44.70000076,14,10.19999981,28.60000038,5173,862,366.84
1998,5.3,-53.5,Diefendorf,C3,Chaetocarpus schomburg,Chaetocarpus,schomburg,-32.85,25.765,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Micropholis obscura,Micropholis,obscura,-31,23.81,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,55.7,-98.51,Cornwell,C3,Vaccinium minus,Vaccinium,minus,-31.04,23.37959717,5.795,ErM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,55.927,-98.62,Cornwell,C3,Pinus banksiana,Pinus,banksiana,-25.99259091,18.33270854,5.795,EcM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,1.899999976,0.899999976,1.100000024,0.899999976,31.39999962,26,27.89999962,26,7131,716,366.84
1998,5.33,-52.83,Diefendorf,C3,Caryocar glabrum,Caryocar,glabrum,-29.4,22.12,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,-12.683,132.383,Cornwell,C3,Xanthostemon paradoxus,Xanthostemon,paradoxus,-25.8,18.48,3,EcM-AM,NA,27.55431548,999.9668586,1.261614029,86,1398.664284,1.200000048,0.699999988,0.5,1.100000024,21.79999924,12,7.800000191,19.20000076,6856,2263,366.84
1998,5.3,-53.5,Diefendorf,C3,Schefflera decaphylla,Schefflera,decaphylla,-30.2,22.96,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Couepia caryophylloides,Couepia,caryophylloides,-30.15,22.91,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.33,-52.83,Diefendorf,C3,Sloanea sp.,Sloanea,sp.,-27.9,20.54,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,37.01,-122.06,Diefendorf,C3,Arbutus menziesii,Arbutus,menziesii,-27.05,19.65,25.7985,EcM,NA,14.37068452,893.9641566,0.456928307,211,633.6607159,5.5,1.299999952,0.800000012,1.799999952,77.30000305,18.89999962,12.19999981,32.79999924,5414,1534,366.84
1998,5.33,-52.83,Diefendorf,C3,Lecythis zabucajo,Lecythis,zabucajo,-27.7,20.33,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,53.5,-105.75,Cornwell,C3,Alnus crispa,Alnus,crispa,-28.3,20.63444175,16.068,EcM,Fixers,10.9697449,890.1884904,0.460664716,461,332.7428574,3.700000048,2.200000048,1.700000048,2.599999905,44.70000076,14,10.19999981,28.60000038,5173,862,366.84
1998,-12.683,132.383,Cornwell,C3,Buchanania obovata,Buchanania,obovata,-26.75,19.47,3,AM,NA,27.55431548,999.9668586,1.261614029,86,1398.664284,1.200000048,0.699999988,0.5,1.100000024,21.79999924,12,7.800000191,19.20000076,6856,2263,366.84
1998,5.3,-53.5,Diefendorf,C3,Parinari excelsa,Parinari,excelsa,-30.8,23.6,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,-14.3,132.083,Cornwell,C3,Buchanania obovata,Buchanania,obovata,-27.1,19.84,3,AM,NA,26.78794643,1037.621116,1.488715301,256,1099.58393,0.699999988,0.600000024,0.400000006,0.699999988,7.099999905,4.199999809,3,6,4208,2411,366.84
1998,5.33,-52.83,Diefendorf,C3,Jacaranda copaia,Jacaranda,copaia,-31.6,24.44,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,37.01,-122.06,Diefendorf,C3,Umbellularia californica,Umbellularia,californica,-27.15,19.76,25.7985,AM,NA,14.37068452,893.9641566,0.456928307,211,633.6607159,5.5,1.299999952,0.800000012,1.799999952,77.30000305,18.89999962,12.19999981,32.79999924,5414,1534,366.84
1998,5.3,-53.5,Diefendorf,C3,Licania alba,Licania,alba,-31.55,24.39,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Inga paraensis,Inga,paraensis,-28.3,20.96,2.65615,AM,Fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.33,-52.83,Diefendorf,C3,Sclerolobium melinonii,Sclerolobium,melinonii,-30,22.75,2.65615,AM,Non_fixers,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,37.65,112.35,Cornwell,C3,Pinus sylvestris,Pinus,sylvestris,-26.86,19.49,1.568,EcM,NA,13.47778274,938.56286,0.756059067,1136,461.5321425,1.600000024,0.699999988,0.5,0.800000012,11.80000019,6.599999905,4.5,8.399999619,2916,1457,366.84
1998,5.3,-53.5,Diefendorf,C3,Peltogyne venosa,Peltogyne,venosa,-28.8,21.49,2.65615,AM,Non_fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,55.75,-97.867,Cornwell,C3,Petasites palmatus,Petasites,palmatus,-33.2,25.539712,5.795,AM,NA,10.12022959,844.0570313,0.374627388,207,380.9535709,3.599999905,5.199999809,5.400000095,4.400000095,85.80000305,74.5,75.30000305,75.30000305,7315,728,366.84
1998,-16.117,130.917,Cornwell,C3,Acacia colei,Acacia,colei,-27.9,20.68,3,EcM-AM,Fixers,27.08705357,1061.376936,1.81177419,148,796.6482162,0.5,0.5,0.300000012,0.5,8.199999809,5.300000191,3.799999952,7,2801,2606,366.84
1998,55.927,-98.62,Cornwell,C3,Cornus canadensis,Cornus,canadensis,-27.0562,19.39631763,5.795,AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,1.899999976,0.899999976,1.100000024,0.899999976,31.39999962,26,27.89999962,26,7131,716,366.84
1998,-14.3,132.083,Cornwell,C3,Bauhinia cunninghamii,Bauhinia,cunninghamii,-27.4,20.15,3,AM,Non_fixers,26.78794643,1037.621116,1.488715301,256,1099.58393,0.699999988,0.600000024,0.400000006,0.699999988,7.099999905,4.199999809,3,6,4208,2411,366.84
1998,-17.3,130.75,Cornwell,C3,Terminalia canescens,Terminalia,canescens,-27.8,20.57,3,AM,NA,26.5641369,1081.398677,1.917522553,226,649.2625009,0.800000012,0.800000012,0.600000024,0.699999988,6.800000191,5.599999905,4.5,6.300000191,2158,2789,366.84
1998,-14.3,132.083,Cornwell,C3,Planchonia careya,Planchonia,careya,-27,19.73,3,AM,NA,26.78794643,1037.621116,1.488715301,256,1099.58393,0.699999988,0.600000024,0.400000006,0.699999988,7.099999905,4.199999809,3,6,4208,2411,366.84
1998,55.7,-98.51,Cornwell,C3,Rhododendron groenlandicum,Rhododendron,groenlandicum,-30.136,22.47559717,5.795,ErM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,37.01,-122.06,Diefendorf,C3,Quercus agrifolia,Quercus,agrifolia,-27.46,20.08,25.7985,EcM,NA,14.37068452,893.9641566,0.456928307,211,633.6607159,5.5,1.299999952,0.800000012,1.799999952,77.30000305,18.89999962,12.19999981,32.79999924,5414,1534,366.84
1998,55.75,-97.867,Cornwell,C3,Corylus cornuta,Corylus,cornuta,-28.8,21.139712,5.795,EcM,NA,10.12022959,844.0570313,0.374627388,207,380.9535709,3.599999905,5.199999809,5.400000095,4.400000095,85.80000305,74.5,75.30000305,75.30000305,7315,728,366.84
1998,5.3,-53.5,Diefendorf,C3,Caryocar glabrum,Caryocar,glabrum,-29.4,22.12,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Licania glabriflora,Licania,glabriflora,-32.1,24.97,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,37.65,112.35,Cornwell,C3,Larix olgensis,Larix,olgensis,-27.82,20.48,1.568,EcM,NA,13.47778274,938.56286,0.756059067,1136,461.5321425,1.600000024,0.699999988,0.5,0.800000012,11.80000019,6.599999905,4.5,8.399999619,2916,1457,366.84
1998,38.5477,-106.925334,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-25.56605839,17.94483715,37.4,EcM-AM,NA,7.746471088,1023.816729,0.664967554,3009,282.9910708,NA,NA,NA,NA,NA,NA,NA,NA,2094,1351,366.84
1998,-14.3,132.083,Cornwell,C3,Grevillea pyramidalis,Grevillea,pyramidalis,-25.3,17.95,3,NM,NA,26.78794643,1037.621116,1.488715301,256,1099.58393,0.699999988,0.600000024,0.400000006,0.699999988,7.099999905,4.199999809,3,6,4208,2411,366.84
1998,5.3,-53.5,Diefendorf,C3,Dicorynia guianensis,Dicorynia,guianensis,-28.3,20.965,2.65615,AM,Non_fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,41.175516,-105.098654,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-28.81870707,21.3644015,8.42875,EcM-AM,NA,10.5611182,923.3664382,0.674551871,2257,285.2696429,1.899999976,1.100000024,0.699999988,1.5,21.39999962,10.60000038,6.5,15.5,2391,1551,366.84
1998,5.33,-52.83,Diefendorf,C3,Dendrobangia boliviana,Dendrobangia,boliviana,-31.1,23.91,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,53.916,-104.69,Cornwell,C3,Vaccinium minus,Vaccinium,minus,-28.7418,21.07723157,47.69,ErM,NA,10.91290816,875.8696303,0.451726178,495,351.5357128,1.100000024,1.100000024,1.399999976,1.399999976,21.79999924,33.5,30.79999924,26.60000038,5824,812,366.84
1998,5.3,-53.5,Diefendorf,C3,Diplotropis purpurea,Diplotropis,purpurea,-31.2,24.02,2.65615,AM,Fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,53.5,-105.75,Cornwell,C3,Vaccinium minus,Vaccinium,minus,-29.05,21.38444175,16.068,ErM,NA,10.9697449,890.1884904,0.460664716,461,332.7428574,3.700000048,2.200000048,1.700000048,2.599999905,44.70000076,14,10.19999981,28.60000038,5173,862,366.84
1998,46.7,-114.167,Cornwell,C3,Larix lyallii,Larix,lyallii,-26.85,19.48,5.23575,EcM,NA,10.2588648,818.9168625,0.596652026,1481,276.0089289,5.300000191,1.799999952,0.899999976,2.400000095,59.40000153,22.60000038,10.89999962,35.70000076,3883,1094,366.84
1998,5.33,-52.83,Diefendorf,C3,Minquartia guianensis,Minquartia,guianensis,-32.4,25.29,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,46.4,9.8,Cornwell,C3,Larix decidua,Larix,decidua,-27.374,20.024,15.5,EcM,NA,5.609315476,845.9394841,0.178620699,1953,1153.889287,5.199999809,3.299999952,2.5,4.199999809,86.30000305,33.5,24.70000076,51.09999847,14998,653,366.84
1998,5.3,-53.5,Diefendorf,C3,Laetia procera,Laetia,procera,-31.3,24.13,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,55.927,-98.62,Cornwell,C3,Alnus crispa,Alnus,crispa,-27.6265,19.96661763,5.795,EcM,Fixers,10.30667517,841.9499295,0.396612193,254,360.2071431,1.899999976,0.899999976,1.100000024,0.899999976,31.39999962,26,27.89999962,26,7131,716,366.84
1998,5.3,-53.5,Diefendorf,C3,Parkia nitida,Parkia,nitida,-31.3,24.13,2.65615,AM,Fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,55.7,-98.51,Cornwell,C3,Alnus crispa,Alnus,crispa,-29.7286,22.06819717,5.795,EcM,Fixers,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,55.88,-98.67,Cornwell,C3,Vaccinium myrtilloides,Vaccinium,myrtilloides,-31.0902,23.43021005,5.795,ErM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,2.599999905,1.5,1.399999976,1.799999952,70.09999847,44.79999924,46.90000153,54,7079,718,366.84
1998,5.3,-53.5,Diefendorf,C3,Eperua grandiflora,Eperua,grandiflora,-29.2,21.91,2.65615,AM,Non_fixers,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,53.985,-105.122,Cornwell,C3,Potentilla sp.,Potentilla,sp.,-29.5552,21.89079509,16.068,AM,NA,10.71517007,876.0966037,0.44159076,525,349.7339286,1.100000024,1.399999976,1.100000024,1.200000048,24.89999962,23.89999962,32.59999847,21.60000038,5658,832,366.84
1998,5.3,-53.5,Diefendorf,C3,Ruizterania albiflora,Ruizterania,albiflora,-28.2,20.86,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Eschweilera parviflora,Eschweilera,parviflora,-31.95,24.815,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.3,-53.5,Diefendorf,C3,Eschweilera decolorans,Eschweilera,decolorans,-30.45,23.225,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,-16.117,130.917,Cornwell,C3,Bauhinia cunninghamii,Bauhinia,cunninghamii,-27.7,20.47,3,AM,Non_fixers,27.08705357,1061.376936,1.81177419,148,796.6482162,0.5,0.5,0.300000012,0.5,8.199999809,5.300000191,3.799999952,7,2801,2606,366.84
1998,5.33,-52.83,Diefendorf,C3,Protium sp.,Protium,sp.,-31.7,24.55,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.33,-52.83,Diefendorf,C3,Brosimum rubescens,Brosimum,rubescens,-31.1,23.91,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.33,-52.83,Diefendorf,C3,Cordia sp.,Cordia,sp.,-33.1,26.03,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.3,-53.5,Diefendorf,C3,Catostemma fragrans,Catostemma,fragrans,-30.9,23.7,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,53.916,-104.69,Cornwell,C3,Apocynum sp,Apocynum,sp,-29.5256,21.86103157,47.69,AM,NA,10.91290816,875.8696303,0.451726178,495,351.5357128,1.100000024,1.100000024,1.399999976,1.399999976,21.79999924,33.5,30.79999924,26.60000038,5824,812,366.84
1998,39.024833,-106.133998,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-28.23967628,20.75581374,3.59295,EcM-AM,NA,6.535433673,1000.199583,0.637499065,3335,267.0500007,8.100000381,1.100000024,0.800000012,2.299999952,138.6000061,15.10000038,10.80000019,32.09999847,5071,1145,366.84
1998,55.75,-97.867,Cornwell,C3,Alnus crispa,Alnus,crispa,-28.4,20.739712,5.795,EcM,Fixers,10.12022959,844.0570313,0.374627388,207,380.9535709,3.599999905,5.199999809,5.400000095,4.400000095,85.80000305,74.5,75.30000305,75.30000305,7315,728,366.84
1998,55.75,-97.867,Cornwell,C3,Arctostaphylos densiflora,Arctostaphylos,densiflora,-29,21.339712,5.795,EcM,NA,10.12022959,844.0570313,0.374627388,207,380.9535709,3.599999905,5.199999809,5.400000095,4.400000095,85.80000305,74.5,75.30000305,75.30000305,7315,728,366.84
1998,5.3,-53.5,Diefendorf,C3,Licania membranacea,Licania,membranacea,-32.7,25.61,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,-12.683,132.383,Cornwell,C3,Livistona humilis,Livistona,humilis,-29.3,22.1,3,AM,NA,27.55431548,999.9668586,1.261614029,86,1398.664284,1.200000048,0.699999988,0.5,1.100000024,21.79999924,12,7.800000191,19.20000076,6856,2263,366.84
1998,5.3,-53.5,Diefendorf,C3,Vantanea parviflora,Vantanea,parviflora,-30.7,23.495,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,-12.683,132.383,Cornwell,C3,Erythrophleum chlorostachys,Erythrophleum,chlorostachys,-25.7,18.4,3,AM,Fixers,27.55431548,999.9668586,1.261614029,86,1398.664284,1.200000048,0.699999988,0.5,1.100000024,21.79999924,12,7.800000191,19.20000076,6856,2263,366.84
1998,55.7,-98.51,Cornwell,C3,Cornus canadensis,Cornus,canadensis,-28.6379,20.97749717,5.795,AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,5.33,-52.83,Diefendorf,C3,Xylopia sp.,Xylopia,sp.,-32.5,25.4,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,-16.117,130.917,Cornwell,C3,Carissa spinarum,Carissa,spinarum,-28.9,21.73,3,AM,NA,27.08705357,1061.376936,1.81177419,148,796.6482162,0.5,0.5,0.300000012,0.5,8.199999809,5.300000191,3.799999952,7,2801,2606,366.84
1998,55.88,-98.67,Cornwell,C3,Viburnum sp,Viburnum,sp,-27.6148,19.95481005,5.795,AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,2.599999905,1.5,1.399999976,1.799999952,70.09999847,44.79999924,46.90000153,54,7079,718,366.84
1998,5.33,-52.83,Diefendorf,C3,Tovomita sp.,Tovomita,sp.,-32.5,25.4,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,55.927,-98.62,Cornwell,C3,Arctostaphylos densiflora,Arctostaphylos,densiflora,-28.9748,21.31491763,5.795,EcM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,1.899999976,0.899999976,1.100000024,0.899999976,31.39999962,26,27.89999962,26,7131,716,366.84
1998,64.3,-20.283,Cornwell,C3,Larix sibirica,Larix,sibirica,-29.47,22.22,25.3,EcM,NA,5.634391942,546.086293,0.160295352,252,674.8053563,7.400000095,5.400000095,5.5,4,207.8000031,121.4000015,99.09999847,154,15784,546,366.84
1998,5.33,-52.83,Diefendorf,C3,Recordoxylon venosa,Recordoxylon,venosa,-28,20.65,2.65615,AM,Fixers,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,44.244334,-86.333801,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.98091183,19.43529378,5.06,EcM,NA,12.42460813,791.1881705,0.426392412,205,661.924999,6.699999809,1.5,0.800000012,2.299999952,76.69999695,22.60000038,13.69999981,38.59999847,8146,1015,366.84
1998,5.3,-53.5,Diefendorf,C3,Goupia glabra,Goupia,glabra,-30,22.75,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.33,-52.83,Diefendorf,C3,Goupia glabra,Goupia,glabra,-29.9,22.65,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,-16.117,130.917,Cornwell,C3,Corymbia bleeseri,Corymbia,bleeseri,-27,19.7,3,EcM-AM,NA,27.08705357,1061.376936,1.81177419,148,796.6482162,0.5,0.5,0.300000012,0.5,8.199999809,5.300000191,3.799999952,7,2801,2606,366.84
1998,5.3,-53.5,Diefendorf,C3,Eschweilera micrantha,Eschweilera,micrantha,-31.55,24.39,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,5.33,-52.83,Diefendorf,C3,Couratari guianensis,Couratari,guianensis,-30.9,23.7,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.3,-53.5,Diefendorf,C3,Protium subserratum,Protium,subserratum,-31.1,23.91,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
1998,53.985,-105.122,Cornwell,C3,Vaccinium minus,Vaccinium,minus,-30.7564,23.09199509,16.068,ErM,NA,10.71517007,876.0966037,0.44159076,525,349.7339286,1.100000024,1.399999976,1.100000024,1.200000048,24.89999962,23.89999962,32.59999847,21.60000038,5658,832,366.84
1998,-12.683,132.383,Cornwell,C3,Eucalyptus miniata,Eucalyptus,miniata,-27.9,20.7,3,EcM-AM,NA,27.55431548,999.9668586,1.261614029,86,1398.664284,1.200000048,0.699999988,0.5,1.100000024,21.79999924,12,7.800000191,19.20000076,6856,2263,366.84
1998,55.7,-98.51,Cornwell,C3,Rosa acicularis,Rosa,acicularis,-29.6101,21.94969717,5.795,AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,55.7,-98.51,Cornwell,C3,Salix spp,Salix,spp,-29.784625,22.12422217,5.795,EcM-AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,3.299999952,3.200000048,3.5,3.299999952,70.09999847,51.09999847,51.59999847,56.5,7113,715,366.84
1998,55.88,-98.67,Cornwell,C3,Populus tremuloides,Populus,tremuloides,-28.34192857,20.68193862,5.795,EcM-AM,NA,10.30667517,841.9499295,0.396612193,254,360.2071431,2.599999905,1.5,1.399999976,1.799999952,70.09999847,44.79999924,46.90000153,54,7079,718,366.84
1998,5.33,-52.83,Diefendorf,C3,Licania alba,Licania,alba,-32.1,24.97,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,-16.117,130.917,Cornwell,C3,Eucalyptus tectifica,Eucalyptus,tectifica,-25.9,18.6,3,EcM-AM,NA,27.08705357,1061.376936,1.81177419,148,796.6482162,0.5,0.5,0.300000012,0.5,8.199999809,5.300000191,3.799999952,7,2801,2606,366.84
1998,5.33,-52.83,Diefendorf,C3,Eperua falcata,Eperua,falcata,-28.5,21.17,2.65615,AM,Non_fixers,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.33,-52.83,Diefendorf,C3,Lecythis idatimon,Lecythis,idatimon,-31.5,24.34,2.65615,AM,NA,26.38452381,942.5090292,0.470078677,21,2977.580355,5.800000191,4,2.700000048,3.5,91.90000153,51.40000153,40.09999847,54.20000076,12695,1652,366.84
1998,5.3,-53.5,Diefendorf,C3,Lecythis persistens,Lecythis,persistens,-31.4,24.23,2.65615,AM,NA,25.86770833,889.5192822,0.786485767,77,2746.214287,4.099999905,2.799999952,1.899999976,2.799999952,67,18.89999962,11.5,27.20000076,16728,1627,366.84
