year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1876,45.702438,-122.817414,Sheldon ,C3,Thuja plicata,Thuja,plicata,-25.35556814,19.36661979,35.865,AM,NA,10.86665314,633.3144699,0.342408733,130,1124.5375,6.099999905,2.799999952,2.400000095,3.200000048,59.5,27.39999962,17.29999924,32.20000076,10330,1055,288.7
1879,44.937891,-72.200379,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.54984048,18.48361016,81.5,AM,NA,11.41400935,792.8903289,0.372085208,404,850.162501,NA,NA,NA,NA,NA,NA,NA,NA,11942,896,290.1
1879,40.627156,-74.412429,Sheldon ,C3,Pinus strobus,Pinus,strobus,-27.75146043,21.83748246,8.686,EcM,NA,13.53631403,771.9043583,0.571360976,62,1078.17857,NA,NA,NA,NA,NA,NA,NA,NA,9992,1258,290.1
1883,47.381441,-88.098684,Sheldon ,C3,Pinus strobus,Pinus,strobus,-24.4048034,18.260446,0.6298,EcM,NA,11.17953869,845.215985,0.334558025,228,598.9803579,7.099999905,2,1.799999952,3.299999952,95.19999695,24.10000038,21.89999962,44.90000153,9575,887,292.5
1887,44.527266,-87.993249,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.46620547,19.54391482,23.738,AM,NA,12.75214711,804.8591579,0.436370653,195,0,NA,NA,NA,NA,NA,NA,NA,NA,6937,1081,294
1888,47.391762,-88.031266,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.7476539,18.65943104,0.6298,AM,NA,11.17953869,845.215985,0.334558025,228,598.9803579,6,1.399999976,1,2.400000095,82.59999847,22.89999962,16.39999962,46.5,9380,891,294.1
1889,47.6068,-122.33392,Sheldon ,C3,Thuja plicata,Thuja,plicata,-24.2186992,18.14822562,3.4185,AM,NA,11.38377976,624.9132479,0.452126909,78,1020.135716,NA,NA,NA,NA,NA,NA,NA,NA,9289,1037,294.2
1889,39.792522,-77.010636,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.47757886,20.52092322,4.4445,EcM,NA,13.38376263,748.942053,0.473222829,230,974.657142,5.5,1,0.699999988,1.600000024,68.30000305,9.100000381,4.099999905,20.70000076,8709,1231,294.2
1890,45.522149,-122.632457,Sheldon ,C3,Thuja plicata,Thuja,plicata,-25.79782665,19.56249654,36.428,AM,NA,10.86665314,633.3144699,0.342408733,130,1124.5375,7.900000095,1.399999976,1.100000024,2.5,68,27.10000038,11.10000038,39,9399,1157,294.4
1890,42.413753,-74.02297,Sheldon ,C3,Pinus strobus,Pinus,strobus,-26.3980242,20.35536564,7.51,EcM,NA,11.97099986,776.1869467,0.410998309,537,897.651786,7.699999809,1.399999976,0.800000012,2.5,113.4000015,14.80000019,7.5,28.29999924,9655,1042,294.4
