"","x"
"1",11.8214285714286
"2",11.7857142857143
"3",11.6071428571429
"4",11.6428571428571
"5",11.7142857142857
"6",11.6071428571429
"7",11.625
"8",11.3214285714286
"9",11.6071428571429
"10",11.7678571428571
"11",11.6428571428571
"12",11.6428571428571
"13",11.7142857142857
"14",11.9464285714286
"15",11.8035714285714
"16",11.3928571428571
"17",9.71428571428571
"18",9.39285714285714
"19",10.75
"20",11.1964285714286
"21",10.8035714285714
"22",10.75
"23",10.875
"24",11
"25",11.2678571428571
"26",11
"27",11.2678571428571
"28",10.7857142857143
"29",6.28571428571429
"30",2.58928571428571
"31",12
"32",12
"33",11.9107142857143
"34",11.9821428571429
"35",11.9642857142857
"36",11.8214285714286
"37",11.5535714285714
"38",11.6785714285714
"39",11.8392857142857
"40",11.625
"41",11.4285714285714
"42",11.2857142857143
"43",11.0892857142857
"44",11.2321428571429
"45",11.5
"46",6.69642857142857
"47",7.21428571428571
"48",6.01785714285714
"49",7.08928571428571
"50",12
"51",12
"52",12
"53",12
"54",11.75
"55",11.9107142857143
"56",11.875
"57",11.8214285714286
"58",11.9642857142857
"59",11.8214285714286
"60",11.9285714285714
"61",11.8928571428571
"62",11.75
"63",11.7142857142857
"64",11.4642857142857
"65",11.9464285714286
"66",11.9464285714286
"67",11.9821428571429
"68",11.9107142857143
"69",11.9107142857143
"70",11.9107142857143
"71",11.8214285714286
"72",11.9464285714286
"73",11.9285714285714
"74",11.9107142857143
"75",11.9107142857143
"76",11.8392857142857
"77",11.8571428571429
"78",7.80357142857143
"79",7.78571428571429
"80",11.9285714285714
"81",12
"82",12
"83",11.8571428571429
"84",11.8392857142857
"85",11.8928571428571
"86",11.9285714285714
"87",11.9285714285714
"88",11.9285714285714
"89",11.9107142857143
"90",11.9107142857143
"91",11.875
"92",11.8571428571429
"93",11.8392857142857
"94",12
"95",12
"96",12
"97",12
"98",11.9642857142857
"99",11.8571428571429
"100",11.8571428571429
"101",11.6964285714286
"102",11.7321428571429
"103",11.7321428571429
"104",11.7142857142857
"105",11.75
"106",11.75
"107",11.7857142857143
"108",11.8571428571429
"109",11.9464285714286
"110",11.8392857142857
"111",11.9464285714286
"112",11.9464285714286
"113",11.9285714285714
"114",11.9285714285714
"115",11.9285714285714
"116",11.9107142857143
"117",11.3392857142857
"118",11.6964285714286
"119",11.6607142857143
"120",11.4821428571429
"121",11.5178571428571
"122",11.5892857142857
"123",11.5892857142857
"124",11.5714285714286
"125",11.6607142857143
"126",11.8392857142857
"127",11.9642857142857
"128",11.9642857142857
"129",11.9642857142857
"130",11.9642857142857
"131",11.9464285714286
"132",11.9642857142857
"133",11.9464285714286
"134",12
"135",12
"136",12
"137",11.5535714285714
"138",11.3392857142857
"139",11.625
"140",11.4821428571429
"141",10.9464285714286
"142",11.3928571428571
"143",11.5892857142857
"144",11.5178571428571
"145",11.5535714285714
"146",11.6785714285714
"147",11.7857142857143
"148",11.9642857142857
"149",11.9821428571429
"150",11.9642857142857
"151",11.9642857142857
"152",11.9642857142857
"153",12
"154",12
"155",11.9642857142857
"156",11.4642857142857
"157",8.67857142857143
"158",11.3214285714286
"159",10.0714285714286
"160",10.1964285714286
"161",11.2142857142857
"162",11.3928571428571
"163",11.4107142857143
"164",11.4464285714286
"165",11.7142857142857
"166",12
"167",12
"168",12
"169",12
"170",11.9642857142857
"171",10.25
"172",10.7321428571429
"173",11.375
"174",11.1964285714286
"175",11.1071428571429
"176",10.9821428571429
"177",11.3928571428571
"178",11.4464285714286
"179",11.5357142857143
"180",11.625
"181",11.7857142857143
"182",11.7857142857143
"183",12
"184",12
"185",11.9464285714286
"186",11.8928571428571
"187",9.66071428571429
"188",8.23214285714286
