"","x"
"1",490.770562446479
"2",492.712817710199
"3",542.360336056416
"4",518.77437774877
"5",514.635690146194
"6",551.204763288002
"7",550.360335397307
"8",561.124368484574
"9",550.653206758375
"10",547.686915193079
"11",551.477748203897
"12",552.695527550875
"13",535.344679583925
"14",555.974902499806
"15",560.574402642766
"16",569.130065550261
"17",622.255060445626
"18",636.011880031465
"19",582.128084459277
"20",571.499124553056
"21",583.446743729345
"22",589.126226508841
"23",583.522030788135
"24",579.686847244265
"25",570.122431994517
"26",544.234870742135
"27",537.164780598113
"28",553.761523151122
"29",621.581693795587
"30",644.447980926151
"31",432.551284392675
"32",434.45951569648
"33",545.882717223394
"34",568.440725547411
"35",567.67421236802
"36",566.267771989855
"37",574.083884224541
"38",563.945218760007
"39",560.319470321977
"40",566.356906333733
"41",574.503257574354
"42",578.434557537255
"43",585.495815430128
"44",581.806584429638
"45",573.391814313754
"46",599.542096774432
"47",606.916078196848
"48",627.196287407843
"49",603.457046460349
"50",439.665411381494
"51",439.603108599072
"52",558.819964136396
"53",579.956329799834
"54",582.235514164797
"55",576.871825084026
"56",573.936851239308
"57",574.863404435823
"58",569.919064986241
"59",546.1651250414
"60",566.866164240486
"61",565.272203044974
"62",571.337938944499
"63",575.80888189547
"64",582.443461420079
"65",571.961832822659
"66",570.950804871398
"67",586.6105950467
"68",587.146030942083
"69",583.41776281621
"70",582.892062224351
"71",580.443525608277
"72",555.990131679551
"73",575.796348516043
"74",574.862406187759
"75",576.022243972464
"76",580.12221237323
"77",581.381962924396
"78",750.752951106355
"79",750.945437984618
"80",584.233952759664
"81",582.343528747559
"82",598.222664833069
"83",597.648402426666
"84",595.259168088178
"85",593.632202565412
"86",590.027535649089
"87",588.53542480221
"88",588.269323357256
"89",587.698770925596
"90",588.467144712225
"91",585.973955858321
"92",588.581698752069
"93",567.683812999313
"94",505.868157897677
"95",593.730933439164
"96",614.952275253478
"97",608.956289200556
"98",608.251508739604
"99",605.073227770917
"100",603.716445245784
"101",605.879170286501
"102",603.552039064267
"103",602.669660172731
"104",599.973282724025
"105",599.23451800367
"106",600.731064343556
"107",601.124067176472
"108",599.927185909469
"109",589.291966708708
"110",567.2691585966
"111",562.52405558582
"112",561.221216373526
"113",558.967984569847
"114",605.449835859852
"115",605.727977866218
"116",617.108492333136
"117",630.383949510566
"118",617.533933960721
"119",618.165175575405
"120",619.103743105774
"121",618.809791998292
"122",614.245247354411
"123",614.894512771012
"124",617.345978374536
"125",614.626772100688
"126",607.375979122145
"127",599.735835444876
"128",594.831610937655
"129",593.753871391346
"130",594.123714232342
"131",590.806367731714
"132",590.618596500133
"133",562.897539334896
"134",615.957134973435
"135",630.9617597035
"136",626.42427444458
"137",635.460529484274
"138",641.143566308565
"139",628.651543224219
"140",630.802492793195
"141",644.091787394817
"142",630.860998507633
"143",628.072265782845
"144",631.574169193477
"145",630.334959795155
"146",626.364252397199
"147",590.777597502093
"148",585.270258668181
"149",605.638255123452
"150",578.47502618641
"151",577.967296922362
"152",596.501957501168
"153",625.408558641161
"154",637.596405755906
"155",637.971386818659
"156",648.33895818358
"157",747.945173812586
"158",645.269015375635
"159",688.05477726401
"160",684.015546068657
"161",647.946347545855
"162",644.770861229339
"163",647.49233547874
"164",646.529113766641
"165",642.596998815
"166",525.146146342868
"167",526.595473675501
"168",652.961802437192
"169",649.851008642288
"170",645.481564998627
"171",693.204549022911
"172",675.221906049874
"173",656.556883873327
"174",659.089811498193
"175",663.697029777626
"176",666.494722647344
"177",654.880846648746
"178",657.149743290003
"179",656.598501150123
"180",657.229496042243
"181",657.825365395979
"182",656.166851754209
"183",646.033891518911
"184",661.903946263449
"185",655.489844088947
"186",656.556130683783
"187",729.200960719809
"188",784.653341711155
"189",672.915207234227
"190",663.298213159746
"191",671.707474945806
"192",673.823829292804
"193",671.764609003686
"194",669.249681844753
"195",664.311344437372
"196",666.100789249717
"197",669.48140065123
"198",666.910062966202
"199",659.160852748078
"200",657.960482106064
"201",657.623847416882
"202",723.45677860748
"203",689.676851399602
"204",644.91275506921
"205",577.0581508364
"206",675.711077304113
"207",670.722827934083
"208",666.327920734108
"209",666.340656216527
"210",743.105776619739
"211",804.737979344451
"212",686.482566932166
"213",694.425130081452
"214",685.239013777564
"215",679.907468062975
"216",670.831743751047
"217",667.994632767599
"218",673.946238706432
"219",672.818215776831
"220",676.304356151019
"221",673.010695426082
"222",669.120289456173
"223",666.952915404266
"224",646.162336966279
"225",692.030213419459
"226",649.040925816127
"227",648.394365985259
"228",668.023385479337
"229",680.449194794609
"230",677.065249034337
"231",675.000661474286
"232",724.572551343348
"233",767.263710262937
"234",692.841939731284
"235",745.320041251217
"236",760.155218821687
"237",696.692538230175
"238",685.02139649632
"239",680.769864278851
"240",681.290211469477
"241",688.220176252142
"242",687.004944431008
"243",684.190516831865
"244",679.999093895867
"245",678.175628930459
"246",676.494467898365
"247",646.096645432427
"248",650.279295882105
"249",692.667921838306
"250",690.174297673362
"251",686.148978284943
"252",695.692319938803
"253",713.24024680483
"254",719.597187864763
"255",723.111866871447
"256",723.917101568715
"257",706.204595281895
"258",700.229738380107
"259",699.134962438883
"260",707.56150343456
"261",701.380325231648
"262",700.939286494978
"263",696.179320246626
"264",691.264952839195
"265",690.549264018154
"266",691.617321491241
"267",692.871434552329
"268",688.171807493482
"269",699.920423621223
"270",696.109763310585
"271",706.0973407605
"272",741.079384840928
"273",764.077835606221
"274",789.129378929248
"275",770.486621680404
"276",731.521892271138
"277",718.375146944423
"278",719.639137059166
"279",724.680339754058
"280",726.444282558573
"281",716.248239951663
"282",710.048935920748
"283",704.876303416826
"284",705.144099666959
"285",706.047578607287
"286",705.410326821464
"287",703.819592884609
"288",706.429369501221
"289",764.027637934582
"290",813.404038605133
"291",742.719488734566
"292",745.156405330289
"293",752.816708053517
"294",739.845177597745
"295",730.976987065072
"296",740.784775484864
"297",732.633359896947
"298",736.922363511481
"299",724.442435253441
"300",720.099703377976
"301",719.16748884746
"302",719.671840622312
"303",720.301954927899
"304",719.405011971792
"305",717.273629778907
"306",588.79900428227
"307",597.938809167771
"308",706.267558120546
"309",721.620344252813
"310",721.908890338171
"311",720.880044096992
"312",729.762506946822
"313",838.61123744398
"314",754.062984927014
"315",800.647505484274
"316",802.369173098643
"317",768.505242844096
"318",739.903866352147
"319",736.14345571551
"320",735.7796286199
"321",737.209621438113
"322",736.363506379066
"323",736.302337033408
"324",735.898484002976
"325",737.513068834941
"326",550.4146698543
"327",625.562067781175
"328",596.049295607067
"329",599.881135849726
"330",609.015695821671
"331",609.496674514952
