"","x"
"1",5.05666937229437
"2",4.99795725108225
"3",4.79878517316017
"4",4.60436958874459
"5",4.79029220779221
"6",4.60165584415584
"7",4.62631493506493
"8",4.38370761183261
"9",4.81165313852814
"10",5.16152597402597
"11",5.15654491341991
"12",5.20168019480519
"13",4.57853625541126
"14",5.22395833333333
"15",5.00274621212121
"16",4.42833874458874
"17",3.6776204004329
"18",3.69544687950938
"19",4.25375450937951
"20",4.75028409090909
"21",4.65171085858586
"22",4.5624044011544
"23",4.54823502886003
"24",4.58777056277056
"25",4.79440025252525
"26",4.73896284271284
"27",4.89866522366522
"28",4.67282377344877
"29",2.36469600340136
"30",0.874285714285714
"31",4.45565476190476
"32",4.49747023809524
"33",4.92244318181818
"34",5.58497023809524
"35",5.43287337662338
"36",5.1536553030303
"37",4.81545995670996
"38",5.069375
"39",5.54845779220779
"40",5.26354707792208
"41",5.0925965007215
"42",5.19281746031746
"43",5.26953102453102
"44",5.39897095959596
"45",5.56362012987013
"46",2.65474277210884
"47",2.90921839569161
"48",2.14951955782313
"49",2.86867134353741
"50",4.90699404761905
"51",4.97395833333333
"52",5.57901785714286
"53",5.39017857142857
"54",4.40874188311688
"55",5.19944534632035
"56",5.33997564935065
"57",5.47330086580087
"58",6.27410714285714
"59",5.3636038961039
"60",6.38097943722944
"61",6.15758928571429
"62",6.01043019480519
"63",6.19829816017316
"64",6.15917658730159
"65",5.21661255411255
"66",5.43645833333333
"67",5.38837932900433
"68",5.27723214285714
"69",5.49002976190476
"70",5.93023538961039
"71",5.81512175324675
"72",6.03832521645022
"73",6.78026244588745
"74",6.48856872294372
"75",6.58701298701299
"76",6.51820346320346
"77",6.62667207792208
"78",3.91553500566893
"79",3.93744260204082
"80",5.29615800865801
"81",6.70997023809524
"82",5.95238095238095
"83",5.11377164502164
"84",5.42344426406926
"85",5.96187770562771
"86",6.60569534632035
"87",6.792545995671
"88",7.08904220779221
"89",7.26626082251082
"90",7.25159632034632
"91",7.01266233766234
