domain_id,site_id,site_name,site_type,site_subtype,colocated_site,latitude,longitude,geodetic_datum,utm_northing,utm_easting,utm_zone,site_county,site_state,site_country,mean_evelation_m,minimum_elevation_m,maximum_elevation_m,terrestrial_sampling_boundary_size_km2,mean_annual_temperature_C,mean_annual_precipitation_mm,dominant_wind_direction,mean_canopy_height_m,dominant_nlcd_classes,dominant_plant_species,usgs_huc,watershed_name,watershed_size_km2,lake_depth_mean_m,lake_depth_max_m,tower_height_m,megapit_soil_family,soil_subgroup,avg_number_of_green_days,avg_green_increase_doy,avg_green_max_doy,avg_green_decrease_doy,avg_green_min_doy,phenocams,number_tower_levels
D20,PUUM,Pu'u Maka'ala Natural Area Reserve NEON,Core Terrestrial,,,19.55309,-155.31731,WGS84,2163673.63,256868.7191,5N,Hawaii,HI,US,1685,1034,1877,47.2,12.7°C,2657,,20,Evergreen Forest,,,,,,,32,Medial-skeletal - amorphic - isomesic Typic Hapludands,Typic Hapludands,365,,,,,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D20.PUUM.DP1.00042/",6
D02,SCBI,Smithsonian Conservation Biology Institute NEON,Core Terrestrial,,POSE,38.892925,-78.139494,WGS84,4308784.08,748090.6473,17N,Warren,VA,US,352,251,571,9.86,11.6°C,1126,SSE,35,Deciduous Forest|Evergreen Forest|Pasture/Hay,,,,,,,52,Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs,Ultic Hapludalfs,245,85,150,220,320,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.SCBI.DP1.00042/",6
D17,SJER,San Joaquin Experimental Range NEON,Core Terrestrial,,,37.10878,-119.73228,WGS84,4110433.94,257213.9752,11N,Madera,CA,US,400,252,502,18.22,16.4°C,540,NW,21,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,,,,,,,39,Mixed - thermic Psammentic Haploxerolls,Psammentic Haploxerolls,250,270,65,95,155,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SJER.DP1.00042/",6
D14,SRER,Santa Rita Experimental Range NEON,Core Terrestrial,,,31.91068,-110.83549,WGS84,3530547.12,515553.9031,12N,Pima,AZ,US,997,897,1461,214.9,19.3°C,346,ESE,2,Shrub/Scrub,,,,,,,8,Coarse-loamy - mixed - calcareous - thermic Typic Torrifluvents,Typic Torrifluvents,247,87,139,189,219|334,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00042/",4
D08,TALL,Talladega National Forest NEON,Core Terrestrial,,MAYF,32.95047,-87.393259,WGS84,3645863.57,463241.7192,16N,Bibb,AL,US,166,63,179,52.34,17.2°C,1383,N,25,Deciduous Forest|Evergreen Forest|Mixed Forest,,,,,,,35,Fine-loamy - siliceous - subactive - thermic Typic Hapludults,Typic Hapludults,255,75,135,195,330,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00042/",5
D18,TOOL,Toolik Field Station NEON,Core Terrestrial,,TOOK|OKSR,68.66109,-149.37047,WGS84,7618427.66,403757.147,6N,North Slope,AK,US,832,704,980,58.66,-9.0°C,316,S,0.3,Dwarf Scrub|Shrub/Scrub,,,,,,,9,Loamy-skeletal - mixed - superactive - acid - pergelic Typic Histoturbels,Typic Histoturbels,80,160,185,205,240,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00042/",4
D05,UNDE,University of Notre Dame Environmental Research Center NEON,Core Terrestrial,,,46.23391,-89.537254,WGS84,5123162.89,304366.9502,16N,Gogebic,MI,US,521,501,538,29.39,4.3°C,802,SSW,24,Deciduous Forest|Mixed Forest|Woody Wetlands,,,,,,,39,Coarse-loamy - mixed - superactive - frigid Argic Fragiaquods,Argic Fragiaquods,165,120,170,215,285,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00042/",6
D09,WOOD,Chase Lake National Wildlife Refuge NEON,Core Terrestrial,,PRPO,47.1282,-99.241334,WGS84,5219442.04,481694.7212,14N,Stutsman,ND,US,591,569,606,10.63,4.9°C,494,NW,1,Emergent Herbaceous Wetlands|Grassland/Herbaceous,,,,,,,8,Coarse-loamy over sandy or sandy-skeletal - mixed - superactive - frigid Typic Haplustolls,Typic Haplustolls,170,120,180,210,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00042/",4
D16,WREF,Wind River Experimental Forest NEON,Core Terrestrial,,,45.82049,-121.95191,WGS84,5074636.87,581417.8024,10N,Skamania,WA,US,351,300,1008,41.94,9.2°C,2225,NW,50,Evergreen Forest,,,,,,,74,Medial - amorphic - mesic Typic Hapludands,Typic Hapludands,175,115,165,210,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00042/",8
D12,YELL,Yellowstone National Park NEON,Core Terrestrial,,BLDE,44.95348,-110.53914,WGS84,4977885.94,536352.1992,12N,Park,WY,US,2133,1847,2244,72.5,3.4°C,493,SSE,14,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,,,,,,,18,Fine-loamy - mixed - superactive - frigid Pachic Argiustolls,Pachic Argiustolls,144,125,169,193,269,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00042/",5
