domain_id,site_id,site_name,site_type,site_subtype,colocated_site,latitude,longitude,geodetic_datum,utm_northing,utm_easting,utm_zone,site_county,site_state,site_country,mean_evelation_m,minimum_elevation_m,maximum_elevation_m,terrestrial_sampling_boundary_size_km2,mean_annual_temperature_C,mean_annual_precipitation_mm,dominant_wind_direction,mean_canopy_height_m,dominant_nlcd_classes,dominant_plant_species,usgs_huc,watershed_name,watershed_size_km2,lake_depth_mean_m,lake_depth_max_m,tower_height_m,megapit_soil_family,soil_subgroup,avg_number_of_green_days,avg_green_increase_doy,avg_green_max_doy,avg_green_decrease_doy,avg_green_min_doy,phenocams,number_tower_levels
D19,BONA,Caribou-Poker Creeks Research Watershed NEON,Core Terrestrial,,CARI,65.15401,-147.50258,WGS84,7225712.65,476436.7395,6N,Fairbanks North Star,AK,US,230,212,728,49.63,-3.0°C,262,W,8,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,,,,,,,19,Coarse-silty - mixed - superactive - subgelic Typic Histoturbels,Typic Histoturbels,115,135,180,210,250,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00042/",5
D11,CLBJ,Lyndon B. Johnson National Grassland NEON,Core Terrestrial,,PRIN,33.40123,-97.57,WGS84,3696682.44,632982.2183,14N,Wise,TX,US,272,258,343,41.88,17.5°C,926,S,13,Deciduous Forest|Grassland/Herbaceous,,,,,,,22,Fine - mixed - active - thermic Udic Paleustalfs,Udic Paleustalfs,260,60,135,175,295|320,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00042/",5
D10,CPER,Central Plains Experimental Range NEON,Core Terrestrial,,,40.815536,-104.74559,WGS84,4518311.06,521454.7706,13N,Weld,CO,US,1654,1601,1686,65.4,8.6°C,344,NW,0.4,Grassland/Herbaceous,,,,,,,9,Fine-loamy - mixed - superactive - mesic Aridic Argiustolls,Aridic Argiustolls,260,90,165,210,350,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00042/",4
D04,GUAN,Guánica Forest NEON,Core Terrestrial,,,17.96955,-66.8687,WGS84,1988112.21,725706.1285,19N,Guánica Municipio,PR,US,125,8,209,34.92,23.0°C,840,S,10,Evergreen Forest,,,,,,,23,Coarse-loamy - carbonatic - isohyperthermic Typic Haplocalcids,Typic Haplocalcids,365,,,,,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.GUAN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.GUAN.DP1.00042/",5
D01,HARV,Harvard Forest & Quabbin Watershed NEON,Core Terrestrial,,HOPB,42.53691,-72.17265,WGS84,4713265.04,732183.1938,18N,Worcester,MA,US,348,160,415,48.09,7.4°C,1199,NW,26,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,,,,,,,39,Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts,Oxyaquic Dystrudepts,210,110,160,220,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00042/",6
D06,KONZ,Konza Prairie Biological Station NEON,Core Terrestrial,,,39.100774,-96.563075,WGS84,4330786.53,710729.798,14N,Riley,KS,US,414,333,443,34.87,12.4°C,870,SSW,1.5,Deciduous Forest|Grassland/Herbaceous,,,,,,,8,Fine - smectitic - mesic Pachic Udertic Argiustolls,Pachic Udertic Argiustolls,210,90,160,210,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00042/",4
D13,NIWO,Niwot Ridge NEON,Core Terrestrial,,COMO,40.05425,-105.58237,WGS84,4433940.92,450328.2848,13N,Boulder,CO,US,3490,2975,3583,13.4,0.3°C,1005,WNW,0.2,Evergreen Forest|Grassland/Herbaceous,,,,,,,8,Coarse-loamy - mixed - superactive Typic Haplocryolls,Typic Haplocryolls,130,140,190,220,270,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D13.NIWO.DP1.00042/",4
D15,ONAQ,Onaqui NEON,Core Terrestrial,,,40.177599,-112.45245,WGS84,4448479.61,376339.6859,12N,Tooele,UT,US,1662,1599,2061,67.77,9.0°C,288,SW,1.2,Evergreen Forest|Shrub/Scrub,,,,,,,8,Fine-loamy - mixed - superactive - mesic Xeric Haplocalcids,Xeric Haplocalcids,205,75,130,170,280,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D15.ONAQ.DP1.00042/",4
D07,ORNL,Oak Ridge NEON,Core Terrestrial,,WALK,35.964128,-84.282588,WGS84,3983383.09,745052.4354,16N,Anderson,TN,US,344,230,356,57.37,14.4°C,1340,WNW,28,Deciduous Forest|Evergreen Forest|Pasture/Hay,,,,,,,39,Fine - kaolinitic - thermic Typic Paleudults,Typic Paleudults,225,90,140,210,315,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.ORNL.DP1.00042/",6
D03,OSBS,Ordway-Swisher Biological Station NEON,Core Terrestrial,,SUGG|BARC,29.689282,-81.993431,WGS84,3284767.49,403886.418,17N,Putnam,FL,US,46,22,49,36.81,20.9°C,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,,,,,,,35,Hyperthermic - uncoated Typic Quartzipsamments,Typic Quartzipsamments,245,70,150,190,315,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.OSBS.DP1.00042/",6
